# mangaid     objra           objdec             nsa_z       W80_mean             W80_75th             frac_spx                flag1   flag2  
  1-138034    144.846118089   47.1268642387      0.027267    325.0936432813057    375.00000000818545   0.04309063893016345     0       0      
  1-138087    144.23925577    48.2941162265      0.0249804   193.12315090019297   200.07987220884016   0.6779170684667309      0       0      
  1-138102    144.557956402   48.3883017672      0.0257882   217.5493201955823    224.04153355121625   0.6790499390986602      0       0      
  1-138105    144.617048762   48.5255082955      0.0248735   ""                   ""                   0.0                     0       0      
  1-138106    144.352308981   48.5154530802      0.0243491   228.46604668698362   232.42811502104786   0.7526366251198466      0       0      
  1-138140    145.308121958   47.6885981864      0.0467992   570.5169601103391    712.8594249356879    0.16785714285714284     0       0      
  1-138157    145.541530882   48.0128634742      0.0561577   232.80298862275228   236.0223642224043    0.6512037580739871      0       0      
  1-138164    146.091838441   47.459850984       0.0258991   303.78594249864375   346.24600639733416   0.4573170731707317      1       4      
  1-145669    118.67516       26.64273           0.0157224   195.56338153418147   200.0798722088402    0.4888135593220339      0       0      
  1-145741    117.177504896   26.5397644478      0.0154964   239.44731907731997   238.71805112342156   0.4107142857142857      0       0      
  1-145771    116.660473878   26.4702171495      0.0153684   206.76065953989283   212.0607028800282    0.6084733382030679      0       0      
  1-145783    116.759566834   26.7764878281      0.0235924   197.14699256187592   198.88178914172136   0.35523613963039014     0       0      
  1-145828    117.860433991   26.991842388       0.0230017   213.83881028916483   219.249201282741     0.6363636363636364      0       0      
  1-145842    117.870044268   27.20214259        0.0949423   ""                   ""                   0.0                     0       0      
  1-145856    118.383684969   27.7428815514      0.0214779   202.66927754745183   206.07028754443417   0.08895265423242468     0       0      
  1-145884    118.625669207   26.915332139       0.0230125   191.74801087909327   197.68370607460255   0.4425531914893617      0       0      
  1-145894    118.852820823   26.9863497763      0.0152357   199.62137235911234   202.4760383430778    0.7470715835140997      0       0      
  1-145913    120.221692517   28.1303943794      0.0170628   231.81236714989916   243.2108626251171    0.540948275862069       1       3      
